team,opponent,player,ip,ha,er,bb,hb,so,bf,hr_a,game_id,game_date,season
Oklahoma St.,Georgia,Ruby Meylan,5.0,11.0,4.0,0.0,1.0,8.0,26.0,0.0,6314176.0,03/26/2025,2025.0
Oklahoma St.,Georgia,Katie Kutz,1.0,3.0,1.0,0.0,0.0,1.0,7.0,0.0,6314176.0,03/26/2025,2025.0
Georgia,Oklahoma St.,Randi Roelling,5.2,8.0,4.0,4.0,0.0,5.0,29.0,1.0,6314176.0,03/26/2025,2025.0
Georgia,Oklahoma St.,Lilli Backes,1.1,0.0,0.0,0.0,0.0,1.0,4.0,0.0,6314176.0,03/26/2025,2025.0
Oklahoma St.,Georgia Tech,Katie Kutz,1.1,2.0,3.0,4.0,0.0,1.0,10.0,0.0,6314541.0,03/27/2025,2025.0
Oklahoma St.,Georgia Tech,RyLee Crandall,3.0,4.0,3.0,0.0,0.0,1.0,12.0,1.0,6314541.0,03/27/2025,2025.0
Oklahoma St.,Georgia Tech,Kyra Aycock,1.2,1.0,0.0,2.0,0.0,1.0,7.0,0.0,6314541.0,03/27/2025,2025.0
Georgia Tech,Oklahoma St.,Sophia Voyles,5.1,4.0,3.0,1.0,1.0,7.0,21.0,1.0,6314541.0,03/27/2025,2025.0
Georgia Tech,Oklahoma St.,Makayla Coffield,0.1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6314541.0,03/27/2025,2025.0
Georgia Tech,Oklahoma St.,Kinsey Norton,1.1,2.0,1.0,0.0,2.0,1.0,7.0,0.0,6314541.0,03/27/2025,2025.0
Oklahoma St.,Georgia Tech,Ruby Meylan,7.0,3.0,1.0,6.0,1.0,4.0,30.0,0.0,6314542.0,03/28/2025,2025.0
Georgia Tech,Oklahoma St.,Sydnie Watts,1.1,0.0,0.0,0.0,0.0,1.0,4.0,0.0,6314542.0,03/28/2025,2025.0
Georgia Tech,Oklahoma St.,Tymber Harris,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,6314542.0,03/28/2025,2025.0
Georgia Tech,Oklahoma St.,Camden Anders,0.2,1.0,1.0,1.0,0.0,0.0,4.0,0.0,6314542.0,03/28/2025,2025.0
Georgia Tech,Oklahoma St.,Madison Furniss,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,6314542.0,03/28/2025,2025.0
Georgia Tech,Oklahoma St.,Makayla Coffield,0.1,1.0,2.0,0.0,1.0,0.0,3.0,0.0,6314542.0,03/28/2025,2025.0
Georgia Tech,Oklahoma St.,Kinsey Norton,1.2,2.0,2.0,1.0,1.0,2.0,8.0,0.0,6314542.0,03/28/2025,2025.0
Georgia Tech,Oklahoma St.,Sophia Voyles,1.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0,6314542.0,03/28/2025,2025.0
Stony Brook,Hampton,Crimson Rice,4.1,3.0,1.0,2.0,0.0,2.0,20.0,0.0,6314796.0,03/28/2025,2025.0
Stony Brook,Hampton,Gabrielle Maday,2.2,1.0,0.0,0.0,0.0,2.0,8.0,0.0,6314796.0,03/28/2025,2025.0
Hampton,Stony Brook,Angelina Branch,4.2,5.0,0.0,2.0,3.0,2.0,25.0,0.0,6314796.0,03/28/2025,2025.0
Hampton,Stony Brook,Leah Maduro,2.1,3.0,0.0,1.0,1.0,2.0,14.0,0.0,6314796.0,03/28/2025,2025.0
North Ala.,Eastern Ky.,Alivia Wilken,5.0,4.0,2.0,3.0,0.0,3.0,22.0,1.0,6314914.0,03/28/2025,2025.0
North Ala.,Eastern Ky.,Kaylee Snyder,1.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,6314914.0,03/28/2025,2025.0
Eastern Ky.,North Ala.,Victoria Byrum,5.1,4.0,0.0,1.0,0.0,2.0,21.0,0.0,6314914.0,03/28/2025,2025.0
Eastern Ky.,North Ala.,Lauren Narvaez,1.2,1.0,1.0,0.0,0.0,0.0,7.0,1.0,6314914.0,03/28/2025,2025.0
