game_id,team,opponent,player,ip,ha,er,bb,hb,so,bf,hr_a,go,fo,season
4510234,Chattanooga,Mercer,"Goold, Peja",4.0,4.0,1.0,2.0,0.0,3.0,18.0,0.0,5.0,4.0,2024.0
4510236,LSU,Tennessee,"Berzon, Sydney",6.0,6.0,3.0,1.0,2.0,3.0,28.0,0.0,8.0,6.0,2024.0
4510236,Tennessee,LSU,"Gottshall, Payton",1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,2024.0
4510236,Tennessee,LSU,"Pickens, Karlyn",6.0,4.0,0.0,4.0,0.0,7.0,26.0,0.0,9.0,2.0,2024.0
4510237,Kennesaw St.,North Ala.,"Kyte, Lindsey",7.0,3.0,0.0,1.0,0.0,6.0,23.0,0.0,9.0,4.0,2024.0
4510237,North Ala.,Kennesaw St.,"Wilken, Alivia",4.0,5.0,3.0,0.0,0.0,3.0,17.0,0.0,2.0,7.0,2024.0
4510237,North Ala.,Kennesaw St.,"Duskin, Cassidy",3.0,3.0,0.0,1.0,0.0,1.0,15.0,0.0,6.0,2.0,2024.0
4510238,Penn,Harvard,"Szewczyk, Olivia",0.2,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,2024.0
4510238,Penn,Harvard,"Bean, Payton",1.2,3.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,4.0,2024.0
4510238,Penn,Harvard,"Riley, Rachel",3.2,7.0,5.0,3.0,0.0,1.0,21.0,0.0,6.0,4.0,2024.0
4510238,Harvard,Penn,"Hunter, Nicolette",6.0,5.0,2.0,0.0,0.0,7.0,23.0,1.0,11.0,0.0,2024.0
4510238,Harvard,Penn,"Arrambide, Katie",1.0,3.0,3.0,0.0,1.0,1.0,7.0,0.0,1.0,0.0,2024.0
4510239,Saint Francis (PA),FDU,"Kolowitz, Olivia",1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,2024.0
4510239,Saint Francis (PA),FDU,"Marsden, Rachel",4.0,2.0,0.0,0.0,0.0,4.0,14.0,0.0,3.0,5.0,2024.0
4510239,FDU,Saint Francis (PA),"Swan, Julia",1.2,2.0,1.0,0.0,1.0,2.0,9.0,1.0,3.0,0.0,2024.0
4510239,FDU,Saint Francis (PA),"Shroyer, Brooklyn",3.1,8.0,7.0,2.0,1.0,3.0,20.0,2.0,0.0,6.0,2024.0
4510241,Samford,ETSU,"Partain, Jordyn",7.0,10.0,1.0,1.0,0.0,5.0,30.0,0.0,7.0,7.0,2024.0
4510241,ETSU,Samford,"Suchy, Taylor",1.1,1.0,1.0,2.0,0.0,1.0,7.0,0.0,1.0,2.0,2024.0
4510241,ETSU,Samford,"Fowler, Gabby",1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2024.0
4510241,ETSU,Samford,"Thackston, Kendall",4.2,6.0,2.0,2.0,0.0,3.0,21.0,0.0,3.0,7.0,2024.0
4510242,Stony Brook,Drexel,"Melaas, Ashton",4.0,2.0,0.0,0.0,0.0,6.0,14.0,0.0,3.0,3.0,2024.0
4510242,Stony Brook,Drexel,"Haynes, Mia",5.0,5.0,6.0,4.0,0.0,4.0,24.0,1.0,7.0,3.0,2024.0
4510242,Drexel,Stony Brook,Hoppe,4.2,4.0,0.0,1.0,0.0,1.0,21.0,0.0,8.0,5.0,2024.0
4510242,Drexel,Stony Brook,"Nelson, Lindsay",4.0,8.0,5.0,2.0,0.0,2.0,22.0,0.0,7.0,3.0,2024.0
4510244,Quinnipiac,Niagara,"Gonzalez, Jaclyn",1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,2024.0
4510244,Quinnipiac,Niagara,"Horan, Sydney",6.0,11.0,7.0,2.0,3.0,1.0,34.0,0.0,10.0,6.0,2024.0
4510244,Niagara,Quinnipiac,"Thompson, Julia",1.1,2.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,3.0,2024.0
4510244,Niagara,Quinnipiac,"Hickingbottom, Madelyn",5.2,7.0,3.0,2.0,1.0,2.0,27.0,0.0,8.0,7.0,2024.0
4510245,Yale,Princeton,"Henderson, Meredith",2.0,2.0,1.0,1.0,0.0,0.0,10.0,0.0,3.0,3.0,2024.0
4510245,Yale,Princeton,"Taylor, Emma",5.0,7.0,3.0,3.0,1.0,2.0,26.0,1.0,5.0,6.0,2024.0
4510245,Princeton,Yale,"Chambers, Molly",2.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,2.0,2024.0
4510245,Princeton,Yale,"Wright, Brielle",1.0,2.0,1.0,1.0,0.0,1.0,6.0,0.0,1.0,1.0,2024.0
4510245,Princeton,Yale,"Shaw, Cassidy",4.0,4.0,2.0,2.0,0.0,2.0,18.0,1.0,4.0,6.0,2024.0
4510246,Fresno St.,UNLV,"Gilmore, Taylor",7.0,5.0,1.0,1.0,1.0,6.0,29.0,0.0,12.0,1.0,2024.0
4510246,UNLV,Fresno St.,"Fontes, Jessie",1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,2024.0
4510246,UNLV,Fresno St.,"Zellien, Ellie",5.0,5.0,2.0,1.0,2.0,2.0,26.0,0.0,6.0,7.0,2024.0
4510247,Howard,Morgan St.,"Holt, Julia",4.0,4.0,0.0,1.0,0.0,4.0,16.0,0.0,5.0,2.0,2024.0
4510247,Morgan St.,Howard,"Fletcher, Victoria",6.1,4.0,1.0,0.0,0.0,3.0,23.0,0.0,8.0,7.0,2024.0
4510247,Morgan St.,Howard,"Raubuch, Emily",0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2024.0
4510247,Howard,Morgan St.,"Weber, Ameila",1.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,2024.0
